"","nr","formulario","time","pidstr","frm2","frm3","frm4","age","female","income","educgrp","cordoba","info","pid","polar","mandate"
"402",402,4,3,NA,0,0,1,20,0,NA,2,1,0,0,0,2
"403",403,3,1,NA,0,1,0,27,1,6,4,1,1,0,6,2
"404",404,2,2,8,1,0,0,25,1,NA,2,1,1,1,5,5
"405",405,1,1,9,0,0,0,41,0,6,3,1,1,1,7,1
"406",406,2,2,NA,1,0,0,24,1,4,2,1,0,0,6,5
"407",407,1,1,NA,0,0,0,52,0,7,3,1,1,0,6,3
"408",408,2,2,NA,1,0,0,42,0,NA,3,1,1,0,7,4
"409",409,1,2,6,0,0,0,60,1,8,4,1,1,1,6,2
"410",410,4,2,NA,0,0,1,52,1,5,2,1,1,0,4,5
"411",411,4,2,NA,0,0,1,61,1,NA,3,1,1,0,9,1
"412",412,3,1,5,0,1,0,22,1,5,2,1,0,1,4,2
"413",413,4,2,NA,0,0,1,18,1,NA,3,1,0,0,NA,NA
"414",414,3,2,NA,0,1,0,33,1,NA,4,1,1,0,2,2
"415",415,4,2,7,0,0,1,50,0,4,1,1,0,1,NA,3
"416",416,3,2,NA,0,1,0,47,1,NA,3,1,1,0,7,5
"417",417,2,2,NA,1,0,0,42,1,6,4,1,1,0,5,2
"418",418,2,1,0,1,0,0,71,1,NA,4,1,1,1,7,4
"419",419,1,3,NA,0,0,0,38,0,6,3,1,1,0,7,NA
"420",420,1,1,6,0,0,0,31,0,NA,3,1,2,1,NA,NA
"421",421,2,2,2,1,0,0,58,1,NA,4,1,1,1,3,1
"422",422,1,2,NA,0,0,0,74,1,NA,2,1,1,0,5,1
"423",423,4,2,5,0,0,1,33,0,NA,4,1,2,1,0,1
"424",424,1,2,6,0,0,0,22,1,NA,3,1,2,1,5,1
"425",425,4,2,NA,0,0,1,33,0,NA,3,1,2,0,6,1
"426",426,3,2,NA,0,1,0,49,1,NA,4,1,1,0,7,5
"427",427,4,1,NA,0,0,1,20,0,5,3,1,1,0,NA,2
"428",428,3,3,NA,0,1,0,39,1,6,4,1,1,0,2,5
"429",429,2,3,8,1,0,0,35,1,NA,3,1,2,1,6,4
"430",430,4,3,NA,0,0,1,66,0,NA,2,1,2,0,7,3
"431",431,3,2,NA,0,1,0,60,1,NA,4,1,2,0,NA,NA
"432",432,1,2,5,0,0,0,53,1,4,2,1,1,1,5,2
"433",433,3,2,NA,0,1,0,73,0,NA,2,1,2,0,6,1
"434",434,1,1,NA,0,0,0,40,1,NA,3,1,1,0,7,1
"435",435,1,2,5,0,0,0,61,0,NA,2,1,1,1,NA,1
"436",436,2,2,7,1,0,0,49,1,NA,4,1,2,1,5,1
"437",437,4,1,NA,0,0,1,42,0,4,2,1,1,0,NA,1
"438",438,2,2,NA,1,0,0,63,1,NA,2,1,0,0,NA,2
"439",439,4,1,NA,0,0,1,37,0,8,3,1,1,0,6,1
"440",440,2,2,8,1,0,0,79,1,NA,2,1,0,1,NA,2
"441",441,1,1,6,0,0,0,19,1,4,4,1,0,1,6,1
"442",442,4,1,NA,0,0,1,65,1,2,2,1,0,0,NA,1
"443",443,3,1,9,0,1,0,41,1,NA,2,1,1,1,NA,4
"444",444,2,2,NA,1,0,0,39,1,2,4,1,1,0,10,1
"445",445,1,1,8,0,0,0,50,1,5,3,1,2,1,2,1
"446",446,4,1,2,0,0,1,75,1,NA,3,1,2,0,NA,2
"447",447,3,2,NA,0,1,0,42,1,6,4,1,2,0,6,1
"448",448,2,2,NA,1,0,0,32,0,10,4,1,0,0,9,5
"449",449,1,1,8,0,0,0,37,1,9,2,1,0,1,4,1
"450",450,2,2,NA,1,0,0,25,1,10,4,1,1,0,9,4
"451",451,3,2,7,0,1,0,64,0,NA,2,1,1,1,5,1
"452",452,4,3,NA,0,0,1,43,1,NA,2,1,0,0,5,2
"453",453,1,2,NA,0,0,0,20,0,NA,3,1,1,0,6,2
"454",454,2,2,NA,1,0,0,57,1,6,3,1,1,0,NA,1
"455",455,1,3,NA,0,0,0,85,0,3,1,1,0,0,2,1
"456",456,2,2,2,1,0,0,24,0,5,3,1,1,1,6,1
"457",457,4,2,NA,0,0,1,62,1,NA,2,1,0,0,NA,2
"458",458,3,2,NA,0,1,0,63,0,NA,2,1,0,0,5,1
"459",459,3,2,NA,0,1,0,62,1,4,1,1,0,0,5,1
"460",460,4,2,NA,0,0,1,45,0,NA,2,1,0,0,4,1
"461",461,2,1,NA,1,0,0,63,1,NA,3,1,1,0,5,1
"462",462,1,2,NA,0,0,0,73,0,NA,4,1,1,0,NA,1
"463",463,3,1,7,0,1,0,64,1,NA,3,1,1,1,5,1
"464",464,2,2,NA,1,0,0,60,1,NA,3,1,1,0,6,3
"465",465,4,2,NA,0,0,1,32,1,NA,3,1,1,1,7,1
"466",466,4,2,NA,0,0,1,63,1,NA,2,1,1,0,6,1
"467",467,1,1,NA,0,0,0,33,0,8,3,1,2,0,4,2
"468",468,1,2,NA,0,0,0,46,1,NA,4,1,1,0,6,2
"469",469,3,2,NA,0,1,0,56,1,5,2,1,2,0,5,1
"470",470,2,2,NA,1,0,0,32,0,6,3,1,1,0,4,1
"471",471,1,1,NA,0,0,0,50,1,2,2,1,1,0,6,1
"472",472,2,1,NA,1,0,0,76,1,NA,1,1,0,0,NA,1
"473",473,3,1,NA,0,1,0,27,1,2,1,1,0,0,NA,1
"474",474,4,1,NA,0,0,1,26,1,6,4,1,2,0,0,2
"475",475,3,1,NA,0,1,0,39,1,2,1,1,0,0,NA,1
"476",476,4,1,10,0,0,1,70,1,3,2,1,1,1,NA,1
"477",477,1,1,7,0,0,0,66,0,1,1,1,0,1,3,1
"478",478,2,1,NA,1,0,0,48,0,5,2,1,0,0,5,2
"479",479,3,2,NA,0,1,0,44,0,4,2,1,0,0,3,1
"480",480,4,1,1,0,0,1,33,0,10,2,1,1,1,NA,3
"481",481,4,2,NA,0,0,1,52,0,5,2,1,1,0,6,1
"482",482,3,1,5,0,1,0,35,0,5,2,1,1,1,3,2
"483",483,1,2,NA,0,0,0,55,1,NA,1,1,1,0,NA,1
"484",484,3,2,NA,0,1,0,69,0,NA,1,1,0,0,NA,1
"485",485,2,1,NA,1,0,0,66,1,NA,2,1,1,0,NA,1
"486",486,4,1,NA,0,0,1,52,1,NA,2,1,0,0,6,3
"487",487,3,3,NA,0,1,0,62,1,NA,2,1,1,0,NA,2
"488",488,2,2,NA,1,0,0,31,1,NA,2,1,0,0,0,1
"489",489,4,3,NA,0,0,1,32,0,5,2,1,0,0,6,1
"490",490,1,2,NA,0,0,0,29,1,NA,3,1,1,0,5,2
"491",491,1,1,NA,0,0,0,75,0,6,3,1,2,0,4,4
"492",492,4,1,NA,0,0,1,56,0,10,4,1,2,0,4,2
"493",493,3,1,NA,0,1,0,28,1,5,2,1,0,0,2,4
"494",494,2,1,NA,1,0,0,26,0,8,4,1,0,0,6,3
"495",495,1,1,NA,0,0,0,40,1,6,3,1,1,0,4,1
"496",496,3,1,NA,0,1,0,23,0,7,3,1,1,0,NA,2
"497",497,4,1,NA,0,0,1,20,1,4,3,1,1,0,NA,1
"498",498,2,3,6,1,0,0,62,1,4,2,1,1,1,5,1
"499",499,1,1,4,0,0,0,42,1,3,2,1,0,1,NA,1
"500",500,2,1,10,1,0,0,59,0,6,2,1,2,1,6,2
"501",501,3,1,NA,0,1,0,34,1,NA,2,1,1,0,0,4
"502",502,4,3,7,0,0,1,33,0,4,3,1,0,1,7,1
